题号,类型,分值,页码,材料,题干,选项A,选项B,选项C,选项D,答案,图片
11,single_choice,2,2,据所学秦岭南北区域差异，完成第11题。,关于秦岭南北两侧区域地理差异的描述，正确的是,山北河流奔腾，山南河冰未解,山北黄牛下地，山南水牛下田,山北稻花飘香，山南麦浪滚滚,山北草木长青，山南树叶凋零,B,
12,single_choice,2,2,海南因海而生，向海而兴。陵水新村镇地处海南岛南岸，当地利用养殖渔排升级而改造成的民宿，推动渔业“往休闲渔业走”，促进当地经济发展，海南“靠海吃海”有了“新吃法”。读图4“海南省示意图”，据此完成12-13题。,新村镇发展休闲渔业主要得益于,人才众多，科技力量雄厚,地形平坦，渔业资源丰富,地处热带，气候炎热干燥,濒临南海，渔排规模较大,D,question_images/figure_05.png
13,single_choice,2,2,读图4“海南省示意图”，据此完成12-13题。,海南“靠海吃海”的“新吃法”有,开发海洋资源，促进经济发展,加大养殖力度，增加海产产量,实施渔民转产，建设度假景区,完善基础设施，扩大产品出口,C,question_images/figure_05.png
14,single_choice,2,2,2025年3月，中国货轮“天恩”号满载新能源汽车穿越北冰洋，仅用28天完成上海到鹿特丹的航程，比传统苏伊士运河航道缩短40%。读图5“北极东北航道与苏伊士运河航道路线图”，据此完成14-15题。,此次“天恩”号货轮从上海到鹿特丹依次穿过的大洋是,太平洋—印度洋—大西洋,太平洋—大西洋—印度洋,太平洋—印度洋—北冰洋,太平洋—北冰洋—大西洋,D,question_images/figure_06.png
15,single_choice,2,3,读图5“北极东北航道与苏伊士运河航道路线图”，据此完成14-15题。,相较于苏伊士运河航道，北极东北航道会,缩短中欧空间距离,严重破坏北极环境,增加轮船货物运量,提高货物运输效率,D,question_images/figure_06.png
16,single_choice,2,3,海洋特别保护区一般设置在海洋生态系统敏感脆弱，但资源密度大、涉海产业多、开发强度高的海域，通过设置海洋特别保护区对这些海域进行有效保护和科学开发。读图6“我国海洋特别保护区分布”，据此完成16-17题。,图中我国海洋特别保护区密度最大的海域是,渤海,黄海,东海,南海,A,question_images/figure_07.png
17,single_choice,2,3,读图6“我国海洋特别保护区分布”，据此完成16-17题。,海洋特别保护区内的城市发展经济的合理措施有,建设工业基地,加快资源开采,发展生态旅游,停止人类活动,C,question_images/figure_07.png
18,single_choice,2,3,“派出昆仑五色流，一支黄浊贯中州。吹沙走浪几千里，转侧屋间无处求。”是王安石对黄河的描述。读图7“黄河流域示意简图”，据此完成18-19题。,“一支黄浊贯中州”主要反映了黄河,流速快,含沙量大,流量大,结冰期长,B,question_images/figure_08.png
19,single_choice,2,3,读图7“黄河流域示意简图”，据此完成18-19题。,针对黄河某河段“转侧屋间无处求”，该河段可采取的有效治理措施是,加固堤坝,水土保持,退耕还林,合理放牧,A,question_images/figure_08.png
20,single_choice,2,3,日本工业原料和燃料主要依赖进口，而澳大利亚西部多大型优质露天铁矿，产品大量销往日本。读图8“日本主要工业区分布”“澳大利亚矿产资源分布”，据此完成20-21题。,日本和澳大利亚的共同地理特征是,都位于板块交界处,都是四面环海的岛国,气候类型复杂多样,工业分布在沿海地区,D,question_images/figure_09.png
21,single_choice,2,3,读图8“日本主要工业区分布”“澳大利亚矿产资源分布”，据此完成20-21题。,与澳大利亚相比，日本工业发展的不利条件是,水资源短缺,矿产资源匮乏,劳动力不足,科技力量薄弱,B,question_images/figure_09.png
22,single_choice,2,4,我国一直坚守耕地保护红线，提出粮食安全是“国之大者”，耕地是粮食生产的命根子。读图9“我国与世界人均耕地面积比较示意图和我国主要粮食作物集中产区分布图”，据此完成22-24题。,我国必须“坚守耕地保护红线”的原因是,耕地空间分布不均,耕地类型不齐全,耕地资源总量充足,人均耕地面积小,D,question_images/figure_10.png
23,single_choice,2,4,读图9“我国与世界人均耕地面积比较示意图和我国主要粮食作物集中产区分布图”，据此完成22-24题。,我国小麦集中产区与水稻集中产区的共同优势自然条件有,热量充足,雨热同期,降水丰沛,平原广阔,B,question_images/figure_10.png
24,single_choice,2,4,读图9“我国与世界人均耕地面积比较示意图和我国主要粮食作物集中产区分布图”，据此完成22-24题。,结合我国耕地资源现状，保障我国粮食安全的正确做法有：①少用农药，降低耕地污染；②开垦草地，增加耕地面积；③加强监管，禁止土地流转；④合理规划，避免乱占耕地。,①②,②③,③④,①④,D,question_images/figure_10.png
25,single_choice,2,4,欧洲西部作为世界领先的风力发电地区之一，海上风电是其发展风电的重要领域。读图10“欧洲西部海上风电场分布图”，据此完成25-26题。,欧洲西部沿海国家建设海上风电场的优势有：①设施完善，技术发达；②劳动力丰富且成本低；③濒临海洋，位置优越；④海域广阔，风力强劲。,①②③,①②④,①③④,②③④,C,question_images/figure_11.png
26,single_choice,2,4,读图10“欧洲西部海上风电场分布图”，据此完成25-26题。,欧洲西部沿海国家大力推广海上风电产业主要是为了,淘汰传统能源,保护生态环境,降低用电成本,增加居民收入,B,question_images/figure_11.png
27,single_choice,2,4,松嫩平原和江汉平原都是我国著名的商品粮产地，两地农作物成熟期有明显差异，松嫩平原的农作物处于生长期时，江汉平原大部分早熟作物已进入成熟、收割阶段。读图11“松嫩平原和江汉平原位置示意”，据此完成27-29题。,松嫩平原和江汉平原两地的农作物熟制分别是,一年两熟、两年三熟,一年一熟、一年两熟至三熟,一年两熟、一年一熟,一年三熟、两年三熟,B,question_images/figure_12.png
28,single_choice,2,4,读图11“松嫩平原和江汉平原位置示意”，据此完成27-29题。,影响松嫩平原和江汉平原农作物成熟期差异的主要因素是,地形地势,土壤类型,纬度位置,海陆位置,C,question_images/figure_12.png
29,single_choice,2,4,读图11“松嫩平原和江汉平原位置示意”，据此完成27-29题。,如果要在松嫩平原推广江汉平原的农作物，首先要,改良土壤肥力,培育耐寒品种,引入灌溉水源,改变耕作方式,B,question_images/figure_12.png
30,single_choice,2,5,长江是中华民族的生命河，也是中华民族发展的重要支撑。长江经济带发展战略定位必须坚持生态优先、绿色发展，共抓大保护、不搞大开发。读图12“长江经济带”，据此完成30-31题。,长江是长江经济带的纽带体现在,“黄金水道”的航运价值,“鱼米之乡”的旅游价值,“水能宝库”的灌溉价值,“塞上江南”的农业价值,A,question_images/figure_13.png
31,single_choice,2,5,读图12“长江经济带”，据此完成30-31题。,实现“生态优先、绿色发展”，长江经济带应做到,大力发展旅游业,工业污水直接排,增加流域耕地量,发展与保护同行,D,question_images/figure_13.png
32,single_choice,2,5,马里亚纳海沟是世界上最深的海沟，位于菲律宾东部海域。在地质形成原因上符合板块构造学说。读图13“板块运动及马里亚纳海沟位置示意”，据此完成32-33题。,马里亚纳海沟地处两大板块交界地带，这两大板块是,亚欧板块、美洲板块,太平洋板块、印度洋板块,亚欧板块、非洲板块,太平洋板块、亚欧板块,D,question_images/figure_14.png
33,single_choice,2,5,读图13“板块运动及马里亚纳海沟位置示意”，据此完成32-33题。,马里亚纳海沟所处板块的运动方向是,→ →,→ ←,← ←,← →,B,question_images/figure_14.png
34,single_choice,2,5,某地理兴趣小组探究气温的影响因素，搜集到世界某大洲局部地区某月等温线分布示意图（图14），据此完成34-35题。,据图分析，该地区此时处于,春季,夏季,秋季,冬季,B,question_images/figure_15.png
35,single_choice,2,5,读图14“世界某大洲局部地区某月等温线分布示意图”，据此完成34-35题。,影响甲、乙两地气温产生差异的主导因素是,地形地势,人类活动,纬度位置,海陆位置,A,question_images/figure_15.png
36,non_choice,10,5,读图文材料，完成下列各题。材料一：哈尔雪山交通便利，景色优美，较长的适宜攀登时段和较为完善和成熟的登山服务使其成为众多登山爱好者首选的入门级攀登雪山。材料二：图15为哈尔雪山局部地区等高线地形图。,"（1）兰花坪雪山露营地所处的地形部位是____，登山爱好者从黑海湖露营地攀登至哈尔雪山山顶气温大致下降____，为保证顺利登上雪山，登山爱好者需携带的物品有____。
（2）用箭头在图中甲河流上标注河流的流向。
（3）图中登山路线的大致走向为____，选择该路线的原因是____。（2分）
（4）分析哈尔雪山成为众多登山爱好者首选的入门级攀登雪山的原因。（3分）",,,,,"（1）山谷；6.6℃～7.8℃；护目镜、氧气罐、羽绒服、保暖手套、登山杖、便携高热量食物等（任答一点）。
（2）图略。提示：河流从高处流向低处。
（3）从东北向西南再向东南。等高线相对稀疏，坡度较缓，攀登难度相对较小；沿山谷或较为平缓的地形行进，便于行走和登山服务的开展；经过较多营地，便于补给和休息。（任答两点）
（4）交通便利，景色优美；适宜攀登的时段较长，可供登山的时间多；有较为完善和成熟的登山服务，能保障登山者的安全，提供便利，降低登山难度和风险。（任答三点）",question_images/figure_16.png
37,non_choice,10,6,读图文材料，完成下列各题。材料一：低空经济是指垂直高度1000米以下（最高不超过3000米）的低空空域范围内，以民用有人驾驶和无人驾驶航空器为载体，通过载人、载货及其他作业等多场景的低空飞行活动。该产业链条长、辐射面广，可应用于我国多个领域。“低空经济”自首次写入《政府工作报告》后，全国各地对低空经济产业布局的热情持续高涨。据统计，我国已有20多个省份已开始布局低空经济，希望依托新技术拓展新市场。材料二：图16为以无人机为支撑的新型低空经济简图，图17为全国低空经济企业数量排名示意图。,"（1）我国低空经济企业数量最多的省级行政区是____。低空经济产业因具有链条长、辐射面广等特点，可广泛应用到____等领域。（2分）
（2）简述我国推进低空经济的积极影响。（4分）
（3）低空经济中的无人机还可用于农业生产，试列举三项无人机在农业生产中的具体应用。（3分）",,,,,"（1）广东省；客运、物流、旅游观光等（任答两点）。
（2）带动相关产业发展，如航空制造业、电子设备制造业等；促进产业升级，增加经济收入；提供更多就业岗位，涵盖研发、生产、运营等多个环节；推动航空技术、通信技术等相关技术的创新和发展。
（3）无人机播种与施肥、农药喷洒；农作物生长监测；农田病虫害监测等。（任答三点）",question_images/figure_17.png
38,non_choice,10,6,读图文材料，完成下列各题。材料一：密西西比河是美国最长的河流，被美国人称为“母亲河”，其支流众多，流域面积广阔。作为美国南北运输的“大动脉”，密西西比河的内河航运对美国运输业乃至经济整体都至关重要。材料二：近年来，密西西比河面临连续干旱，致使河流水位显著降低，大量驳船搁浅，货物运输受阻，部分货物出口量比过去三年的平均水平大幅降低。材料三：图18为密西西比河流域示意。,"（1）密西西比河发源于阿巴拉契亚山脉和____山脉，流向大致为____，流经中部平原后最终注入____洋。
（2）分析密西西比河航运价值高的原因，并将框图补充完整。自然原因：流经中部平原→水流平缓；降水较①____→河流径流量大。社会原因：人口密集、经济发达→货物运输量②____→航运价值高。
（3）密西西比河水位下降可能产生的影响是____。同学们就航运能力对经济发展的有利影响进行讨论，将对话内容补充完整：同意拓宽河道提高河流航运价值的理由是____；不同意拓宽河道的理由是____。",,,,,"（1）落基；自北向南；大西。
（2）①多；②大。
（3）运费上升；影响进出口货物物价；影响进出口方经济收入出现波动等（任答一点）。同意理由：完善交通网络，促进区域经济发展；增加就业岗位，提高当地民众收入。不同意理由：污染水质，破坏生态环境；拓宽河道所需资金较多，造成经济负担。",question_images/figure_18.png
